Numéros	Dates	Heures	Lieux	Dept ou pays	Cotes archives du dossier	Détails sommaires de l'observation	Média	Consultation
91	1998,08,21	23:45:00	La Londe	76	980821c	4 cercles lumineux blanc rotatif et intermitant pendant 5min	 	Base ARCADIA
92	1998,08,27	22:15:00	Vernon	27	980827	Appar/dispar soudaine d'une boule jaunâtre stationnaire	 	Base ARCADIA
93	1998,08,28	23:15:00	Vernon	27	980828	Appar/dispar soudaine d'une boule jaunâtre stat/séparation en 2, puis ré-assemblement	 	Base ARCADIA
94	1998,08,30	03:58:00	A29 sortie Yerviles (76)	76	980830	2 boules rouges puis au plus près obs d'un rectangle massif vitesse moyenne N/S	 	Base ARCADIA
95	1998,09,02	20:15:00	Rouen*	76	980902	Objet ovale, elipse blanche HA 20° stationnaire 3 min + lumière étrange	 	Base ARCADIA
96	1998,09,06	20:00:00	Voreppe (38)	38	980906	objet ovoîde filmé au dessus d'un arbre, vol lent	vidéo	Bureau des Affaires Non-Clasées
97	1998,09,10	22:25:00	Pantin (93)	93	980910	Rectangle au dessus de Paris, division 5 ou 6 polygonnes	 	Base ARCADIA
98	1998,09,17	22:15:00	La Haye Malherbe*	27	980917	objet ovale blanc d'env 20m de dia + 10 faisceaux	 	Base ARCADIA
99	1998,09,18	22:50:00	Le Havre (76)	76	BO34071	3 feux blancs alignés, phare centrale, stationnaire pendant 5h	 	Base ARCADIA
100	1998,09,19	21:50:00	Cléon	76	980919	Disque lumineux blanc vit 60km/h à 300m alt	 	Base ARCADIA
101	1998,09,29	08:15:00	Igoville*	27	980929	boule + demi sphère rouge orangé satationnaire pendant 5min en direction d'Alizay	 	Base ARCADIA
102	1998,10,09	22:24:00	Theilley (41)	41	981009	4 à 5 lumières falshantes blanches	 	Base ARCADIA
103	1998,11,17	20:40:00	Berthierville	Quebec	981017	une boule de feu verte entourée de jaune + trainée jaune:/possible méprise = météorite	 	Base ARCADIA
104	1998,12,01	17:50:00	Le Pessis Grohan	27	981201	Masse triangulaire avec multiple lumières sur les contours	 	Base ARCADIA
105	1999,02,23	19:15:00	divers lieux en France	 	990223	Deux feux blancs visibles à 45°HA, Méprise avec conjonction planètaire impossible	 	Bureau des Affaires Non-Classées
106	1999,06,28	21:00:00	St Juste le Bezu	11	BO990928	Disque bleu avec dôme, vol ondulatoire	 	Base ARCADIA
107	1999,06,00	19:30:00	St Juste le Bezu	11	BO990900	Trainées bleues orangées persistante à basse altitude	 	Base ARCADIA
108	1999,07,03	21:30:00	Marseille	13	990703	forte lumière stationnaire changeant de couleur (voir CEOF)	 	Base ARCADIA
109	1999,07,08	23:30:00	Pontchartrain	78	990700	12 objets en forme de goutte d'eau en formation + 2 sphères blanche en assemblage	 	Base ARCADIA
110	1999,07,31	07:05:00	Miami Beach	613	990731	3 Objets ovales et gris apparement lisses au dessus de la mer	 	Bureau des Affaires Non-Classées
111	1999,08,08	21:00:00	Rabat	Maroc	990808	Engin en forme de V 1x20 lumière blanches de chaque côté	 	Base ARCADIA
112	1999,08,11	11:19:00	Ecretteville sur Mer	76	990811e	3 phènomènes lumineux plats en sustentation surperposé	photos	Bureau des Affaires Non-Classées
113	1999,08,11	11:20:00	Fécamp	76	990811d	3 disques lumineux orangés	photos	Bureau des Affaires Non-Classées
114	1999,08,11	11:20:00	Fécamp	76	990811c	3 fortes lumières, apparition/disparition simultané	photos	Bureau des Affaires Non-Classées
115	1999,08,11	11:19:00	St Valéry en Caux	76	990811b	boule + gerbe d'étincelles	 	Bureau des Affaires Non-Classées
116	1999,08,11	11:20:00	St Pierre en Port	76	990811a	3 objets +/- ovales stationnaires, mouvements trés lent	 	Bureau des Affaires Non-Classées
117	1999,09,24	06:45:00	Marcilly sur Eure	27	990924	Ovoïde blanc alluminium stationnaire pdt 1h, effets secondaires	 	Base ARCADIA
118	1999,10,05	23:25:00	St Genviève les Gasny	27	991005	boule lumineuse, rayonement multicolore	 	Base ARCADIA
119	1999,10,06	16:26:00	Le Havre (76)	76	SE991006	Seisme mag 4,6 au large de St Pierre en Port	 	Base ARCADIA
120	1999,10,27	08:15:00	Iles de Batz	29	ME991027	météorite au nord du Finistère	 	Base ARCADIA
